,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
60,"[-1477.6235277066698, 1923.687602938291, -7637.91158762136, 0.7888731885181117, 1.3114656483091065, 3.8051440281473843, 12.07479712998979, -3.7225171689180048, -0.852381034714246, -12.387673292063665, 1.8955644605207809, -6.737512042730055, 63105.276178575645, -19915.120049073026, -61163.57511376351]",0,0,
61,"[-7035.165653118811, 4787.829015176672, -6735.986012626047, 0.9890644261725801, 5.32875931574231, 5.8408634985639925, 4.25561062511202, -1.481530422468234, 8.583367315707132, -5.988579060674364, -11.453232824529042, -10.388531708672854, 73952.3857158859, 107293.72288626537, -234409.11183090552]",0,0,
62,"[5253.263516285186, 4523.951414944269, 7725.992477108259, 5.0643514501604, 2.3061859690218722, 4.828805541255263, 8.164965983176643, 6.0688278950708465, 8.967787954433888, 2.0240429026365945, 2.4882169953233717, 0.09536645763826535, -32722.313553157408, 35568.02922076656, -186634.42773746155]","[array([-71.52666,   1.47997, -73.6266 ]), array([71.52666, -1.47997, 73.6266 ])]","[array([176914.99299372, 405176.01823331, 396100.49608374]), array([176914.99299372, 405176.01823331, 396100.49608374])]",
63,"[-4772.132475231827, -8191.108140690526, 3346.6624385564173, 0.8896881080945057, 3.3202073455626824, 0.7843433098759629, 11.711668340786645, 9.40193051484955, 11.894803067406436, -0.10495334432199499, -11.159281155927394, 2.969672751730382, 107416.52536476657, 61279.35925178393, -65929.16631293215]","[array([ -19.63262,  118.81861, -173.38287]), array([  19.63262, -118.81861,  173.38287])]","[array([1254389.73375978,  107946.95401236,  592998.69507301]), array([1254389.73375978,  107946.95401236,  592998.69507301])]",
64,"[-5844.1769261476065, 4579.987745819439, 9131.372110274031, 4.7666626873472495, 5.193361255726495, 0.8100168676322175, -1.7811862313145355, 0.8087404672498941, -5.455784983954911, -5.8265275112191155, 1.3609604595042324, -9.014470174138664, -30278.506000896494, 67011.61554559527, -314534.42673181323]",0,0,
65,"[-2359.4616738740106, -5152.8778326174815, -1494.1564575842567, 0.28936330804735233, 0.8267449031992542, 3.6190924754152576, 0.30378227122855606, -3.394938188001264, -2.308402128985037, -7.679603587709611, -4.0164904205977905, -8.045607652448618, -130550.416760273, 113271.89202766836, -302329.40668011253]",0,0,
66,"[1432.7208874797307, 5117.514829123158, -3468.620867287562, 3.7009116095491974, 3.119210169133864, 1.2341118773751973, 1.116002612841653, -7.789325152907612, 4.345909576205461, 3.2700244264226566, 5.802337070539611, 5.001925055695136, -55717.49119355131, 91598.98393026131, -34970.38941630954]","[array([  -2.48765, -138.39888,  170.21862]), array([   2.48765,  138.39888, -170.21862])]","[array([820510.40056482, 664781.48464199, 173490.26560188]), array([820510.40056482, 664781.48464199, 173490.26560188])]",
67,"[-1498.118919752278, 4691.383296382572, -2899.1663190590434, 0.5701499608746664, 2.683090717096384, 2.1629483439063466, -4.919160295525369, 9.220454097923096, 0.1719076886526505, -6.090415896068493, -1.665300381884208, 3.211516547622761, 76051.11252828751, 63035.62650090645, -78022.90881007351]",0,0,
68,"[-6594.1669265133405, -4709.381930123437, -9569.551202090284, 4.570705607298916, 3.610450924725207, 2.0766963716998097, 2.4487251811087365, 1.568863408930623, 2.3267532861632763, -8.974674140081891, 1.4436930768424059, -10.86958499551045, 7417.353899280308, -79789.1533827181, -350866.2742982814]",0,0,
69,"[-7332.773751905022, -1382.9253722390658, 7710.585803664057, 0.9414378366149396, 0.2320996143116903, 1.4115922888354038, -7.318825090295073, 2.2328484102823047, 6.9216363551424145, -4.738363335925028, 2.6664347718204926, -11.987262179502267, 95338.7157788052, 87922.06879238109, -239854.04113705948]",0,0,
