,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
333,0,0,,"[8502.189750619706, 7283.462321527546, 1108.5686325699262, 5.2876629760815606, 0.5758930059320093, 2.6191544453840194, -3.594620419387855, 10.765925225886264, -2.1317120632507036, 8.805732984862157, 4.889034480245403, -8.288353242160166, -67212.01836940664, -139195.79013097862, -9624.01755061996]"
334,"[array([  87385.62178276, 2340867.07595989, 4004103.79930323]), array([1649444.60011479,  635994.28584915,  295226.34453111]), array([1649444.60011479,  635994.28584915,  295226.34453111]), array([  87385.62178276, 2340867.07595989, 4004103.79930323])]","[array([-387.4426 ,  346.00426,  -53.8222 ]), array([-235.30786,   69.98446, -169.50971]), array([235.30786, -69.98446, 169.50971]), array([ 387.4426 , -346.00426,   53.8222 ])]",,"[-3989.6171846036596, -4443.302187274277, 427.47633414256234, 1.1762567768841679, 1.6181566280183934, 3.1457654567527746, -8.46318191262915, 10.612200755631736, -1.8897832662686103, 5.883189910933222, 2.348676125064978, 2.1426152624988326, 57762.00895378509, 126126.82442287978, -333955.6858329914]"
335,"[array([2718165.26360429, 1060954.88219342,  172438.36077815])]","[array([ -76.71657, -212.63727, -343.33475])]",,"[-93.31188656986888, 660.9109490434967, 8732.672517154453, 3.6393526554557734, 5.173850597012959, 0.8382529582954651, -4.422117518613444, 4.818160984943944, 7.59613500874859, 9.520538422832267, -8.371240751003915, -6.149483033274684, -111835.88274103244, -72097.04618817971, -129149.25390699471]"
336,0,0,,"[-5473.361646702315, -5343.3177138473575, -4500.937855519225, 2.981963723665524, 1.2522839800255852, 5.388493563079577, -6.9334484111282615, 9.712389766685089, -2.361161902043026, 8.687357505412105, -5.075517278137317, -9.524886716133029, 81668.32840222417, -66136.58627144141, -364704.9047981459]"
337,"[array([916910.33081262, 328424.47197157, 478252.21140806]), array([916910.33081262, 328424.47197157, 478252.21140806])]","[array([-112.26159,   55.03057, -134.03136]), array([112.26159, -55.03057, 134.03136])]",,"[-6856.744734766202, 9503.798189262845, -7611.401531194297, 4.383589182124882, 4.274935067075075, 2.5175883662679834, 6.9018949974062735, 7.9378646696556014, 10.586559936929568, 2.5416782464694734, -5.8607533646731405, -11.073867370428243, 78937.20683964799, 75711.87774897797, -197405.94421331817]"
338,0,0,,"[-171.12731062639614, 4446.747650777552, -6556.162630292642, 2.114407861043327, 1.0337907575319643, 2.4876653829000883, -4.220175824057787, 7.428145845058907, -7.14533057770695, 0.4924330848848353, -1.5503712121187885, -7.284094001620039, -111709.57652552886, -139766.41169818392, -105577.8648165068]"
339,0,0,,"[2867.0633836389698, 4543.526594738512, -5206.711024559103, 1.7603235478616586, 0.578283275667055, 5.799115598847912, -5.575281567905076, -0.15275425602456583, 11.704884421981316, -10.450693007536099, 6.602439737428146, -1.348700894002583, -55120.867218225656, 91867.68451339295, -264764.5598796016]"
340,0,0,,"[-3879.281277438844, 1294.7008845473392, -7308.82184033325, 2.78384604860839, 5.967513319586987, 3.8239692803835874, -4.95246849445086, 12.041592172229429, -6.784243589368284, 4.551037511370321, -7.526824390299219, -11.366506826197408, 123605.34105467511, 118211.6952819681, -106377.7594447126]"
341,"[array([ 237955.41937774,  586613.78018211, 1115481.41060435])]","[array([-140.36128, -128.10838,  -54.8246 ])]",,"[-7639.139565291272, 4940.061120654855, -5224.153192982717, 1.911591080683206, 1.913333372178754, 5.476454104445492, -6.0765532102871935, 6.9689784445730325, 1.8630014361233762, 5.694190396170875, 7.087145290153003, 6.497369768831472, -123579.44817406437, -116267.56370845588, -232561.48083905398]"
342,0,0,,"[-7782.345616395101, 1909.0352019682305, 6456.600910163434, 2.4520528737300142, 4.087270970059146, 1.8354575557327795, -9.782602556151136, 8.57933148057613, 10.94179597137039, -1.4394979478513825, -6.088214969888132, 3.66070949938441, 60726.226452722214, 31258.198412569036, -182057.94740350646]"
343,0,0,,"[8936.567588331789, -2164.6040442802314, -765.6670840426341, 0.5777609909402769, 3.014205082013733, 0.7777342582350285, 8.167071725547313, 4.201479191497235, -5.61159934165908, 8.587140699457557, 7.471322433717319, -5.516978769681101, 27790.6776426445, 136282.06138513592, -228687.63157419013]"
344,0,0,,"[-8751.91601726941, 3699.7401742525617, -9494.831421841303, 4.527531827669205, 1.5823809911072277, 1.2317491870497836, 12.238979414837964, -4.217540985783167, 0.2614678157313097, -1.6904233089140064, -4.331434472077287, -11.213096800173227, -34042.478683994734, 54074.46737151436, -90171.2204203211]"
345,0,0,,"[-3448.014122125149, 5607.076708644103, -1534.91765822032, 1.3059021987819859, 4.87095440175441, 1.8209309481407536, 5.426497200854019, 10.219562970078965, -3.0902076894375314, 0.7141960750951881, 7.349512964938953, -11.502209989952462, 29520.73487152165, -41568.26386384055, -246758.10953399827]"
346,0,0,,"[-8326.782285487869, 7813.042892422847, -1256.3626973195078, 1.7829626813213477, 4.750849064801622, 5.2723373447800475, 9.293985010848708, -1.0203809278640898, 4.253494461308129, -4.145735157212483, -10.97866271643761, -8.329499908046344, 113306.01316482888, 80639.0658588926, -337499.9450933575]"
347,"[array([ 565523.69285343, 2450354.62021989, 2160292.12635764]), array([ 565523.69285343, 2450354.62021989, 2160292.12635764])]","[array([-237.37487,   19.9901 , -278.51708]), array([237.37487, -19.9901 , 278.51708])]",,"[2050.437986540679, 77.01065891952749, -3331.1678283219944, 3.1271905245627596, 1.5524652169619768, 1.6145839836531246, -1.5764026856751077, 10.423091301247172, 9.162052839236438, 6.470969195938604, -0.10911543496396447, -11.458262061967208, 57586.50664993984, 105524.18978129601, -292799.8565841258]"
348,"[array([1394571.21106274,  630901.12764914,  369825.29471347]), array([1394571.21106274,  630901.12764914,  369825.29471347])]","[array([-133.23698,   84.19863, -179.02221]), array([133.23698, -84.19863, 179.02221])]",,"[1876.398269765954, 3158.492194843717, 6566.276024957799, 5.831265569362607, 3.227541307038716, 1.6403847706826395, -0.3586555584633917, -2.1312618755247144, 2.4258745915468403, 0.5788997148454698, 3.794141385177138, -1.1233002855447065, 74886.64058019119, 38149.737615738646, -334618.99852826865]"
349,0,0,,"[27.6727358011849, 4050.0216963483963, -7404.881003962786, 4.2100446833300635, 5.122527653862982, 2.6036592805746905, -8.98205795351007, 4.581602648588177, 6.58871116429434, 7.3233128848316085, -12.168012052621915, -8.155815310030956, 132432.88424840244, -98337.53534896027, -271611.1533919882]"
350,0,0,,"[8043.060427692428, -7251.210386122173, -631.3279111120155, 1.3205447795430596, 3.5635856145299663, 3.6254458645187793, -12.352853599129121, 3.484396112813309, 1.5803995334743757, 6.596849930104618, -4.492801500047435, -0.8872439117984889, -56825.88001150753, 82332.28068794694, -107334.96024577337]"
351,0,0,,"[-6484.155672571011, -8071.446884357749, 1420.7920046738254, 1.9907731364087198, 3.9734915754970634, 4.427066154680929, 0.6488667840036868, 8.98152111833723, 3.0394412151530883, -1.0896125069579181, -8.007060774396711, -11.278774280354485, -12193.037152938166, 77047.10737010383, -29657.4432565287]"
352,"[array([767090.39712291, 154068.74244054, 449442.35914155]), array([767090.39712291, 154068.74244054, 449442.35914155])]","[array([ -92.37695,   11.55456, -114.96476]), array([ 92.37695, -11.55456, 114.96476])]",,"[-9075.552939688827, -6511.662380558445, -7388.732883848059, 5.413192646501092, 4.807624624123594, 1.862155957523498, 5.78598244233422, 0.0635581672350316, 0.4536669417864232, 3.947011189905478, 0.27780196841044, 6.200372298254045, 131918.1857197851, -86830.35884632172, -293218.00495022064]"
353,0,0,,"[-3209.9261485885154, 5323.704456736246, 7563.463106912997, 0.22975838739983, 4.198535701323436, 0.8790637743749949, -10.300891372334872, 6.047298613478855, -3.1628583029554376, 1.4489687478221, 3.332090192417464, -5.852809539218093, -112058.89977142826, 10221.310221694206, -343499.86680092814]"
354,0,0,,"[-8191.599773031946, -1634.2992271786661, -1870.5123836501043, 5.630204272559859, 0.7477602100586629, 0.30109923024130736, -11.734400182592129, -2.861748987403132, 1.7857455674971074, 10.49343631890505, -10.643105896334228, -5.508499773633099, 114528.25536600559, -6050.963216154778, -70328.66474433756]"
355,0,0,,"[5764.688551808154, 8642.883653193883, -5525.232471045478, 2.1659065738060983, 4.4834634394829544, 0.7579572408191209, -2.295955755340904, 12.064272141351076, 2.2746524932368644, 3.487527117417386, 0.7062021200850523, -10.25604501308743, 118142.36569806898, -32814.01497520588, -167317.72086872466]"
356,"[array([554394.22690494, 106378.83990675, 322627.80280719])]","[array([ -37.67018, -153.26689, -149.88642])]",,"[-2012.7228768107707, -9115.266580024037, 8992.931922657957, 2.6359785107897493, 0.4671588750647314, 1.1123447284256192, -11.032410332367474, -2.6084483271595102, 8.958282412858242, 11.84062100927671, 2.5038981574628014, 0.9228956702388356, 21435.142367620283, -66456.43097048085, -147816.87653849748]"
357,0,0,,"[-5683.374690244762, 8292.634426521527, 2775.3666998529607, 4.062963825006325, 0.8973129333242562, 5.394046521325301, 6.880981651126646, -2.5237152482179894, -3.963517690759569, -8.44163087689726, 6.477405493610945, -10.85725009287595, 59163.71527554872, 103309.07926524652, -190515.35660320515]"
358,"[array([ 120681.52896027, 1292727.22713492, 3555534.11354488])]","[array([ -85.62203, -220.00197, -205.21385])]",,"[-5671.620435721447, -9716.134131522625, 8841.027581865139, 1.461872651409708, 3.772878696185838, 5.871838806295425, 8.01896828103957, 3.0511960650236976, 6.707315428928004, -2.742109068283929, -11.805309735662162, 0.018689216987636925, -86847.39365706735, -60170.92563919563, -379002.71522525896]"
359,"[array([ 586519.35763005, 1113009.6873098 ,  993460.02078053])]","[array([-177.06853,   -9.74676, -135.90581])]",,"[8755.150895334376, 1518.4000641672883, -1699.7755278986024, 1.5266054386371815, 3.7797025921369665, 4.0317024757204, 6.347826136481832, 4.787519896714645, 0.6907011085894386, 8.818687936500279, -2.7221275483751235, 1.3890637258765448, -20216.16699117537, -47223.58620941696, -329032.2848801001]"
360,"[array([1689919.95909666,  817210.90377043,  210846.70430748]), array([1689919.95909666,  817210.90377043,  210846.70430748])]","[array([-186.53265,   65.32135, -184.42877]), array([186.53265, -65.32135, 184.42877])]",,"[7232.444694647766, 4197.973347244566, 2946.2149626384144, 2.7641680274164964, 2.783063576238458, 3.302868166202681, 7.443896784406835, -3.4849742297776665, 2.593985713702697, -4.214280826926704, 1.791837084394091, -2.744413885882844, -4814.66225228773, 57525.36076612104, -393699.68704103306]"
361,"[array([605353.23110928, 367075.97102874, 118797.9799286 ])]","[array([-100.2248 ,  -24.66458,  -85.06852])]",,"[1532.6813649444994, 313.35432782860516, -2273.4026461468893, 2.248577803475134, 0.960458788231435, 2.9641636773229814, 2.121423733633346, -1.423691840327054, 9.59954603860712, 3.736313508828431, 1.8426732618264428, 2.654099853883663, -74261.73038251622, 51118.010372226534, -298647.4348461177]"
362,0,0,,"[2080.2199978760746, -2899.186663985245, -2871.3660097804786, 2.836808410839727, 2.8684563867501507, 1.3666619608747008, -12.249103062289588, 8.97457533238017, 10.063872256855014, 6.477777152131928, -8.501639140671873, -7.847825930180128, -11790.904584154661, -79515.18890867774, -382121.3215446982]"
363,0,0,,"[5214.080553596954, 589.03320203578, -4057.0434933292972, 2.880526115483615, 0.30980323125519527, 3.1281914202294834, -2.6033803115947762, 5.896041626924218, 1.141939665337068, 2.597357898097318, -12.330791396281397, -9.628371284382746, -144571.73960143363, 15954.694684886286, -216052.28955734547]"
364,0,0,,"[-5646.204222651141, 7709.770517443852, 5448.116563833755, 4.935586395366593, 0.8241782615014805, 5.869455599073297, -6.458441557177418, 10.183380841773133, 7.7673952627367555, -1.854961091627656, -9.27216252394446, -12.502452124895672, -113993.26280197667, -103067.91217781071, -145178.439634195]"
365,"[array([351895.46120871, 112317.39548709, 136266.0020549 ]), array([351895.46120871, 112317.39548709, 136266.0020549 ])]","[array([-3.50067, 88.42236, 82.75118]), array([  3.50067, -88.42236, -82.75118])]",,"[4790.3099371364515, -1751.48274850286, -2974.6213203490734, 1.9075166646736343, 2.531937684518043, 3.1046828853238795, 1.0524364793976897, -2.5273920593925068, -2.099605074140211, 3.66006883703292, 1.5634224200058444, 6.627591820286057, 40549.202907815605, -72654.89160971847, -37988.79077935917]"
366,"[array([547444.80764661, 262742.22958738, 325973.55738126]), array([547444.80764661, 262742.22958738, 325973.55738126])]","[array([ -7.29524, 106.08344, 100.294  ]), array([   7.29524, -106.08344, -100.294  ])]",,"[-9559.444477791712, 7831.893470921237, 774.9164297832613, 0.7895844194762631, 2.6096934469745316, 2.4565466688671, 9.842883385917812, 8.041369367993553, -3.7019142212593117, 10.397946901234228, -5.977242691558307, 0.6906079088812866, 139960.5421554632, -143708.98469001666, -117906.01323994366]"
367,"[array([  500985.99296238, 21303259.63837514, 24825444.22230004]), array([  500985.99296238, 21303259.63837514, 24825444.22230004])]","[array([-762.60573,    1.34533, -948.15114]), array([762.60573,  -1.34533, 948.15114])]",,"[-5726.474298248918, -680.180230127884, 6372.624676798969, 2.773206510568336, 5.720121383598942, 1.166238056975677, 6.267487431693645, 3.402426874498083, -4.760491328128056, 2.193284147200819, 4.928329947686205, 1.3411549110309213, -78964.4847384851, 98730.28420258753, -253314.7734597829]"
368,0,0,,"[5297.056673148027, -9518.02649531241, -5573.474915228902, 3.4511443102317383, 2.039604528536165, 0.4047113558001847, 7.411746656950225, 8.988789190277178, -1.7575661780127287, -11.825995364045085, -1.4778724997942483, -0.9342263909371837, -81755.57264298073, -50820.83804619484, -136005.77095033776]"
369,0,0,,"[3994.0351866320543, -7440.7010400380095, 649.1180495170483, 5.224796054269287, 0.6089640190051019, 1.2227817281714097, 6.244185507557315, -2.668990754378882, 0.38804578687316393, 5.548076156733462, -7.657705679787417, -10.478909107231644, 71227.17910669139, -63435.52946467824, -58461.40812638105]"
370,"[array([ 74261.05588988, 185257.62923185, 288368.59171518])]","[array([-29.388  , -53.05367, -60.90102])]",,"[7882.621050914826, 7716.3883122141015, 231.4395281994257, 4.71909866686891, 4.944559303411772, 5.056332427061485, 3.715192003005246, 2.3473779381098687, 11.324305441772903, 2.2791726246245165, -2.1942158102829286, -1.2106808947348444, 33512.32739216354, -61233.363192308636, -81938.93896156532]"
371,0,0,,"[1022.969060297688, 3732.3177461676023, -4757.698806268707, 1.9849948482786275, 3.2518775163571907, 1.3511837848962347, 6.98905976007255, -5.681089734737706, -5.9223417990263565, 0.2636397980530578, -6.476523845945941, -10.012965609380501, 69577.25551690676, 58389.902572639694, -342720.5054733652]"
372,0,0,,"[-6812.43702960616, -9378.600213715881, 6679.943904059648, 2.1645133109648267, 5.594323257229674, 4.288942656710124, -11.259608188945512, 11.258751662347844, 8.71137486841965, -9.710694754979986, 3.020425217039458, -4.196712043937021, 94188.47696351362, -24418.30115690324, -393013.31001374574]"
373,0,0,,"[4796.760251560556, 8445.663288607655, -3166.5662578594574, 4.479553058884597, 5.810795290581663, 3.0692689547746537, 0.9294771553887955, 3.299993993659214, -1.4526233806770161, -8.551032183395323, 1.623429850191462, -8.385690931771347, 148461.79709381418, 37437.35728196133, -240823.5229347945]"
374,"[array([915287.65675142, 473516.84611128, 155113.24307928])]","[array([ -82.7723 , -217.7306 , -125.19589])]",,"[-1619.2006650076655, -78.55447713389913, -2228.1089701534793, 3.2741219957118077, 0.29484474508428526, 4.447556646438513, 0.5837885978694928, 0.4316267116221244, 7.635646964935059, 1.8524393619093047, -0.3198983124379673, -7.987355085677478, -56029.756091518444, -124611.62368607822, -109446.89040544291]"
